feature,importance_mean,importance_std
Treatment received,0.03761132499289653,0.021658595093995633
Overall stage,0.03137414522061296,0.02084558707424495
Residual disease,0.023272915711281896,0.011437890239481451
N stage,0.02046938765594025,0.03301330582490395
Age,0.004254482644364746,0.009018180955139374
Prior malignancy,0.0,0.0
M stage,-5.819994926503534e-05,0.0011348773458917853
Ethnicity,-0.0005190942265019781,0.003749862537967737
Race,-0.0015591344265957552,0.0038976753366418188
T stage,-0.0045394653565783765,0.010129364612671152
Gender (Male),-0.006965503332018294,0.004816539633840249
